Engine HP,city mpg
335,19
300,19
300,20
230,18
230,18
230,18
300,17
300,20
230,18
230,18
300,20
230,19
300,19
230,19
230,19
320,18
320,20
172,17
172,17
172,16
172,17
172,16
172,17
172,16
172,17
172,17
172,16
172,16
172,16
172,17
172,16
172,16
160,26
160,26
160,26
130,18
158,17
158,17
130,18
130,18
158,17
240,23
240,23
320,20
240,23
240,22
320,20
240,22
320,20
320,20
335,21
335,21
335,21
335,21
248,23
248,24
248,24
248,23
162,16
162,15
162,15
217,16
217,16
162,16
184,23
184,23
295,18
184,23
184,23
295,18
184,23
184,23
295,18
295,18
184,23
184,23
184,23
184,23
295,18
295,18
184,23
184,23
184,23
295,18
184,23
184,23
184,23
115,26
115,26
140,21
140,21
115,25
115,25
115,25
115,25
140,20
155,19
155,19
155,19
155,19
155,19
155,20
155,20
155,20
114,19
114,18
114,19
114,19
114,19
114,19
114,19
114,18
100,29
100,29
100,28
100,28
100,28
100,28
100,29
100,29
100,28
100,28
100,29
100,29
300,20
240,22
240,22
240,22
300,20
320,20
248,23
241,22
335,25
240,23
300,21
180,32
240,22
240,22
180,23
300,20
180,31
240,23
180,31
180,24
180,30
320,22
180,32
240,22
240,22
240,22
240,22
180,24
180,23
180,30
320,22
248,23
180,23
180,23
248,23
180,30
248,23
180,32
320,21
320,21
180,30
177,15
177,15
158,17
177,15
177,15
177,16
177,15
228,14
217,15
121,23
121,23
228,14
228,15
177,15
177,15
217,15
177,16
148,18
177,15
158,18
177,15
217,17
121,23
228,14
217,17
148,18
177,15
194,17
228,14
218,17
161,17
320,16
320,16
161,17
218,17
218,17
320,16
161,17
300,18
292,19
292,19
292,18
300,19
292,19
292,18
292,18
300,18
300,19
292,18
292,19
292,18
292,18
300,19
292,19
292,19
292,19
300,18
292,18
292,18
292,18
300,18
292,19
300,19
300,18
292,19
292,19
292,18
300,19
250,16
250,16
255,16
250,16
250,16
255,16
222,16
222,16
300,16
222,16
300,16
222,17
222,17
222,17
300,16
222,17
222,17
222,17
82,25
82,25
82,25
82,24
82,25
134,19
134,19
134,19
134,19
306,17
306,17
306,17
306,17
306,18
306,18
306,17
306,17
306,18
306,17
306,17
306,18
306,18
306,17
306,17
306,17
306,17
306,17
306,17
306,17
306,18
306,17
306,18
306,18
306,18
306,17
306,18
306,17
306,17
306,17
306,17
306,17
306,17
306,17
400,10
400,10
400,10
400,10
400,10
400,10
400,10
400,10
400,10
425,10
400,10
400,10
400,10
350,19
332,17
332,18
332,18
332,19
332,19
332,18
332,18
332,18
332,18
332,18
332,17
332,19
350,18
350,18
332,19
350,19
332,18
332,17
350,19
332,19
332,19
350,18
332,19
332,17
350,18
332,18
332,18
350,19
332,18
332,18
332,19
332,18
332,18
332,18
332,19
332,19
332,18
350,18
350,18
332,17
332,18
332,17
332,19
332,18
332,18
332,18
332,18
350,19
350,19
332,19
184,25
184,28
155,30
155,29
155,29
184,25
184,27
184,28
184,26
155,30
155,30
155,29
155,30
155,30
155,29
155,29
184,26
155,30
155,29
184,27
155,29
155,30
155,29
155,30
184,27
155,29
155,30
155,30
155,30
155,29
184,27
184,25
155,30
155,30
155,29
155,29
184,28
155,29
184,26
184,28
155,28
155,27
184,25
184,27
155,28
184,26
184,25
155,27
184,26
155,28
155,28
184,25
155,27
240,22
240,23
240,23
240,22
300,21
300,20
240,22
300,20
300,20
240,23
320,21
320,21
248,23
248,23
300,20
300,21
240,21
240,22
240,23
300,20
240,22
240,21
240,23
300,20
240,23
240,23
240,21
240,23
240,22
300,20
240,23
300,20
240,22
300,20
300,20
248,23
248,22
320,21
248,23
248,23
320,20
320,21
320,21
268,15
282,12
275,16
275,13
201,14
201,14
442,9
442,9
442,9
442,9
442,9
442,9
562,13
562,13
562,13
597,13
562,13
562,13
562,13
597,13
237,24
237,24
237,24
237,24
237,24
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
270,17
300,19
445,16
300,18
445,16
300,18
445,16
300,19
300,18
300,19
445,15
443,16
302,20
255,26
241,22
255,26
443,17
241,23
302,20
255,26
302,20
302,20
240,22
240,23
443,16
443,17
255,26
322,13
322,11
322,13
322,13
315,12
315,14
315,14
315,12
160,28
101,31
135,28
101,28
101,28
160,28
101,31
101,28
101,31
101,31
101,31
160,28
101,31
101,31
101,31
160,28
101,31
101,31
101,31
135,28
101,31
101,31
160,28
101,27
101,27
101,27
160,28
101,27
160,25
160,25
160,22
160,25
160,25
160,25
160,25
160,22
160,25
160,25
160,22
160,22
160,22
180,21
180,22
180,21
180,22
180,22
180,21
160,25
180,22
180,21
180,21
180,22
180,21
180,21
180,22
160,25
485,8
485,8
238,12
238,12
238,12
238,12
562,16
515,9
515,9
515,9
515,9
515,9
515,9
543,10
631,10
604,10
543,10
620,10
543,10
620,10
611,11
611,11
611,11
611,11
661,11
157,22
157,22
157,21
157,22
157,21
157,22
157,22
157,22
157,21
157,21
157,21
445,16
315,20
315,20
445,17
445,15
315,20
445,17
315,20
445,17
315,19
445,15
315,20
445,17
315,20
315,20
315,21
445,16
315,20
445,17
445,16
315,20
315,20
445,15
445,17
315,20
315,20
445,16
445,17
445,16
315,21
445,17
315,19
315,20
315,19
445,17
445,15
402,10
389,11
389,12
389,11
140,17
110,20
140,17
140,17
140,17
140,17
140,17
110,19
532,9
532,9
532,9
170,19
170,19
130,23
130,19
165,19
165,19
125,19
125,23
165,19
125,23
165,19
604,10
543,10
631,10
543,10
620,10
620,10
543,10
641,16
641,16
184,26
184,26
184,25
184,25
184,28
184,26
184,26
184,25
184,26
184,25
184,26
184,24
184,24
184,26
184,26
535,13
315,19
445,16
445,16
315,19
315,19
445,17
445,16
255,23
445,17
320,21
445,16
445,17
445,16
320,19
320,21
300,21
350,20
114,19
153,19
114,19
114,19
114,19
153,18
162,17
162,18
114,18
162,17
162,18
114,18
162,17
114,18
114,18
114,18
144,15
162,16
162,16
188,16
144,15
282,15
322,12
372,10
322,12
282,14
322,12
282,14
108,19
130,16
130,18
130,16
130,18
130,16
222,17
168,18
240,17
168,18
168,18
222,17
168,18
240,17
222,17
222,17
168,18
222,17
240,17
168,18
240,17
222,17
168,18
168,18
168,18
168,18
240,17
222,17
240,17
190,18
190,18
222,17
205,21
200,24
227,17
165,20
230,18
173,19
220,20
220,20
220,20
220,20
220,20
220,20
220,18
220,18
220,18
220,20
220,19
220,18
220,18
220,20
220,19
220,18
220,20
220,18
210,17
280,15
210,19
280,15
210,19
210,19
280,15
210,19
210,19
210,19
210,19
210,19
210,17
210,19
207,17
207,21
207,21
207,20
207,17
207,19
207,19
207,17
207,19
210,21
210,17
210,17
210,20
210,21
210,19
210,19
210,17
210,19
265,18
265,17
265,18
265,17
300,15
260,17
260,17
260,17
260,17
260,17
260,17
300,16
220,20
300,17
220,18
300,17
290,14
300,13
300,13
285,14
390,12
390,12
285,14
300,14
225,18
210,16
170,18
200,18
210,16
170,18
225,18
200,18
200,18
225,18
185,18
185,15
150,18
170,17
185,18
170,17
150,18
150,18
185,18
170,17
150,18
150,18
185,18
185,18
185,18
185,18
170,17
150,18
185,18
185,18
185,18
185,18
185,18
172,15
172,18
172,18
172,17
172,18
172,18
172,17
172,17
172,17
350,19
430,18
430,18
400,18
400,19
520,17
350,19
520,17
350,19
350,19
430,18
560,17
560,17
475,15
400,19
400,18
430,18
350,18
400,18
350,19
430,18
400,18
430,18
350,19
400,19
430,18
350,19
520,17
350,19
350,18
430,18
430,18
350,19
560,17
350,19
400,18
350,19
400,19
400,18
350,19
520,17
560,17
475,15
500,14
540,20
370,19
580,20
420,20
420,20
420,20
420,20
370,20
370,20
540,20
580,20
370,20
420,20
370,20
345,11
345,11
345,11
195,17
193,17
193,17
114,17
114,17
162,17
114,17
114,17
162,17
114,17
114,17
162,17
162,17
162,17
162,17
162,17
114,17
208,15
208,15
208,15
208,15
181,15
181,15
181,16
181,16
181,16
181,16
236,15
236,15
236,15
236,15
236,15
236,15
150,31
150,31
220,24
170,24
170,23
220,24
170,24
220,24
150,31
220,23
170,23
170,24
220,23
220,23
170,23
220,24
220,23
220,24
150,31
220,24
170,24
170,24
170,23
170,24
220,23
150,31
170,23
150,31
220,23
220,24
170,23
170,23
170,24
220,23
150,31
220,26
186,26
220,26
186,25
186,26
220,25
220,25
220,25
186,26
186,25
186,25
220,26
252,23
252,23
252,23
220,22
220,22
220,22
220,24
220,22
220,24
220,22
220,24
220,22
220,22
220,22
220,22
220,22
220,22
220,22
252,25
190,27
252,24
252,24
252,25
252,25
252,24
190,27
190,27
252,24
220,22
220,22
220,21
220,21
220,22
220,22
220,23
220,15
220,15
240,24
220,20
220,25
310,18
220,25
310,18
220,20
240,24
252,22
252,24
252,24
240,25
333,20
333,20
240,25
252,22
252,22
333,22
340,22
333,21
252,22
252,24
252,24
310,18
310,18
240,24
240,24
240,25
333,20
240,24
333,20
333,21
333,21
240,24
500,14
450,18
333,18
450,18
333,19
281,15
281,15
281,17
281,17
281,16
281,17
281,16
281,16
288,17
281,16
288,16
281,17
281,15
281,15
281,15
281,15
281,15
288,15
281,15
281,15
288,15
281,15
281,15
194,21
310,18
194,21
194,21
194,21
310,18
194,21
194,21
310,18
310,18
310,18
138,27
138,27
138,27
138,27
138,27
138,27
137,27
137,27
137,26
137,26
137,27
137,26
137,26
137,26
137,26
137,27
137,27
137,27
100,22
106,19
100,19
271,17
271,17
271,18
271,18
271,18
271,18
271,18
271,18
271,18
271,18
195,50
195,50
195,50
196,50
196,50
196,50
212,49
212,49
212,49
196,47
278,18
278,21
278,21
185,24
185,26
185,27
185,24
278,18
189,26
185,24
185,26
185,27
185,26
278,21
278,21
185,24
185,27
278,21
185,26
189,24
185,27
278,21
185,27
185,26
189,26
278,21
185,27
278,21
185,26
185,26
189,23
185,27
185,26
185,23
185,27
185,23
185,26
189,26
185,23
185,26
185,27
278,18
278,21
278,21
185,23
278,21
185,27
189,26
185,23
185,26
185,23
278,21
185,23
278,21
189,26
185,27
185,27
185,27
278,21
278,21
278,21
278,18
185,26
185,26
189,23
185,26
185,27
278,21
185,26
185,27
185,27
189,26
185,23
189,23
185,26
150,20
150,20
150,19
150,19
150,18
335,23
335,23
335,23
350,22
350,22
335,22
480,17
480,17
155,21
155,22
155,22
155,22
155,22
155,21
155,22
155,21
155,22
155,22
155,21
155,21
155,22
155,21
155,21
155,22
155,22
155,22
155,21
155,22
155,22
155,21
155,21
155,22
155,22
155,22
155,22
155,21
155,21
155,22
155,22
135,16
135,15
155,14
135,15
140,15
155,13
140,15
140,16
140,15
140,15
152,13
140,15
170,18
170,18
140,21
170,18
140,21
140,21
140,21
170,18
170,18
140,21
170,18
140,21
170,18
170,18
140,21
140,21
170,18
140,21
170,18
140,21
140,21
140,21
170,18
170,18
200,14
200,14
295,13
250,14
250,15
300,14
250,15
250,14
250,14
300,14
250,15
220,20
220,20
220,20
220,21
220,21
220,21
220,21
220,21
540,16
600,15
600,15
540,16
540,16
540,16
540,16
540,16
540,16
540,16
540,16
600,16
375,13
198,35
158,35
198,33
182,27
182,27
270,22
182,27
270,22
270,22
270,22
182,27
270,22
270,22
182,27
182,27
182,27
182,27
182,27
270,22
270,22
179,27
179,27
270,22
179,27
270,22
179,26
179,27
264,17
264,17
264,17
503,16
503,16
456,16
317,13
317,12
317,13
317,12
317,12
317,13
317,13
317,12
317,12
317,12
317,13
317,13
317,13
317,12
390,14
390,14
390,13
390,13
390,14
390,13
450,10
500,10
450,10
450,9
500,10
450,10
500,10
450,10
500,10
450,9
235,13
235,12
302,14
302,13
385,20
303,13
303,14
63,31
63,31
63,31
63,29
63,29
63,29
63,29
190,15
190,14
190,14
190,14
190,15
190,14
190,12
190,14
190,12
190,14
190,14
190,12
321,18
321,18
272,21
272,20
272,20
321,18
321,18
272,21
272,20
321,18
321,18
272,21
272,21
272,20
272,22
272,22
335,20
272,22
272,22
335,20
272,22
335,19
272,22
335,19
272,22
335,19
272,22
335,20
272,22
272,22
272,22
335,20
272,22
335,20
335,19
464,17
464,17
464,16
464,16
272,20
272,21
202,21
272,21
321,18
321,18
272,20
272,20
321,18
321,18
321,18
272,20
272,21
272,21
202,21
321,18
335,20
272,22
335,20
272,22
335,19
272,22
272,22
335,20
202,22
272,22
335,19
202,22
272,22
272,22
272,22
335,19
335,20
272,22
335,20
335,19
272,22
272,22
272,22
250,15
215,17
215,16
250,16
250,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
320,15
200,40
200,40
200,40
200,40
200,40
200,40
200,40
200,40
200,40
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
268,21
283,19
173,20
283,19
173,21
283,19
173,21
173,20
173,21
283,19
173,20
700,10
700,11
720,10
720,11
700,10
700,11
720,10
720,11
700,10
750,11
750,11
700,11
107,27
107,27
107,27
107,27
107,27
107,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
108,27
302,12
302,12
302,12
302,12
302,12
302,12
302,12
302,12
302,11
302,11
138,19
138,17
138,16
138,18
293,19
293,20
293,20
293,19
293,20
293,19
185,16
185,17
185,16
185,17
185,16
185,17
500,9
450,10
450,9
450,9
177,85
177,85
177,85
119,19
160,14
160,15
150,15
119,19
150,15
119,19
150,15
150,15
119,19
160,15
160,15
119,19
160,15
160,16
119,19
150,16
150,16
150,16
150,16
160,15
119,19
150,16
150,16
119,19
160,15
119,19
119,20
119,20
143,16
143,15
143,16
160,15
119,20
143,16
143,16
160,15
160,14
143,16
143,15
207,14
148,16
143,21
148,16
148,16
207,15
207,14
207,15
143,21
143,21
207,15
150,15
150,15
150,15
150,15
119,19
119,19
150,15
207,16
150,15
140,21
207,14
140,21
150,15
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
250,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
245,16
165,19
210,16
210,16
165,19
210,16
165,19
210,17
210,16
210,16
165,19
210,17
165,20
210,16
210,16
165,19
170,24
210,23
210,23
170,21
140,28
210,23
170,24
170,24
210,23
210,23
170,24
140,28
210,23
170,24
210,23
170,24
210,23
140,28
210,23
170,21
210,23
210,23
170,21
140,28
170,24
170,21
210,23
170,21
170,21
140,28
150,30
210,23
210,23
150,30
210,23
170,24
210,23
170,24
170,24
170,24
210,23
150,30
150,30
210,23
210,23
210,23
210,23
150,30
150,30
210,23
170,24
170,24
170,24
170,24
170,24
210,23
210,23
210,23
150,30
210,23
150,30
210,23
210,23
170,24
210,23
210,23
210,23
170,24
210,23
210,23
170,25
210,23
210,23
170,25
210,23
170,25
170,25
210,23
210,23
210,23
210,23
170,25
210,23
210,23
210,23
170,25
210,23
170,25
170,25
150,31
210,24
170,25
170,25
170,25
210,23
170,25
210,23
210,24
170,25
170,24
170,25
210,23
210,24
210,23
170,24
210,23
150,31
210,23
210,24
170,24
210,24
170,24
150,31
170,24
150,31
210,23
170,24
170,24
150,31
170,24
150,31
170,25
210,24
170,25
210,24
210,23
210,23
210,23
210,24
170,24
150,31
210,24
210,24
170,25
170,25
150,31
170,24
170,25
210,23
210,24
170,25
170,25
170,25
170,24
210,24
170,25
210,23
210,23
170,25
210,24
170,25
170,24
210,24
170,24
170,25
210,23
170,24
170,24
170,24
170,24
170,24
210,23
170,24
170,24
170,18
120,22
120,21
160,18
120,22
155,18
320,15
320,15
320,15
320,15
320,15
320,15
300,11
190,14
190,13
190,15
190,13
190,14
190,14
190,13
190,13
190,14
190,14
190,13
190,14
190,15
190,14
200,128
200,128
205,17
205,17
240,16
205,18
275,15
205,18
275,15
205,18
205,18
337,15
276,17
276,16
276,17
337,15
337,15
337,15
337,15
276,16
315,20
265,20
330,19
315,20
265,20
330,19
315,20
265,20
270,14
270,14
270,14
275,14
275,13
275,14
275,14
132,23
132,23
132,23
132,23
132,23
140,16
140,16
140,15
140,15
140,15
140,16
140,15
140,16
185,12
185,12
185,12
205,12
205,12
205,12
199,13
199,13
199,11
530,10
530,9
140,15
140,15
170,15
170,15
200,22
200,25
200,22
200,22
200,22
200,22
200,25
200,22
200,24
205,21
205,21
205,21
241,24
302,19
241,19
451,13
241,25
302,20
241,24
329,21
241,25
503,18
241,25
469,18
201,22
241,24
362,21
241,25
241,24
503,18
469,18
241,25
241,25
241,24
241,24
241,24
362,21
503,18
469,17
241,24
241,24
241,23
241,24
469,18
241,24
241,24
503,17
241,22
241,23
188,42
188,42
188,42
188,42
188,42
188,42
227,21
227,21
227,21
227,21
227,21
227,21
268,16
276,16
276,16
302,16
302,16
302,16
227,19
227,18
227,19
400,13
400,13
400,13
172,17
172,17
172,17
94,22
94,22
94,22
94,22
94,21
94,21
115,21
115,21
115,21
115,20
115,21
115,20
115,20
115,21
115,20
115,20
115,21
115,21
115,21
115,20
293,19
293,19
293,19
293,19
293,19
290,20
290,20
290,20
158,23
172,23
158,23
158,23
158,23
158,23
158,23
172,23
158,23
158,23
158,24
172,23
158,24
158,24
158,24
158,23
553,16
453,13
483,13
483,13
323,17
323,17
580,14
426,16
426,16
426,16
426,16
323,17
323,17
505,13
323,17
323,19
580,14
455,16
275,21
455,16
275,21
275,21
275,21
455,16
455,16
455,16
455,16
275,20
275,22
455,16
455,16
275,20
275,22
275,20
650,14
275,20
650,14
200,40
200,40
200,43
200,40
200,40
200,43
200,42
200,40
200,40
157,20
225,18
225,18
225,18
157,21
225,18
157,20
157,21
225,18
157,20
155,21
210,18
210,18
155,22
155,22
210,18
155,22
210,18
210,18
210,18
155,21
210,18
155,22
155,21
210,18
210,18
210,18
155,22
210,18
155,22
210,18
155,21
178,25
178,25
268,21
268,21
178,25
178,25
178,25
178,25
178,25
178,25
178,25
268,21
268,21
178,24
178,24
178,24
268,21
268,21
178,24
185,18
185,17
185,18
242,16
242,16
185,18
185,18
242,17
242,16
185,18
185,17
242,17
185,17
242,17
200,20
200,19
305,17
200,19
200,20
200,19
305,18
200,20
200,20
200,19
305,17
200,20
305,17
305,18
200,19
305,18
305,17
305,18
305,17
305,17
305,17
305,17
305,18
200,19
200,19
305,18
200,20
200,20
200,19
305,18
200,19
305,18
305,17
200,20
260,15
200,16
200,16
200,16
260,15
260,15
200,16
180,20
180,20
180,20
180,20
180,20
180,20
180,20
180,20
180,20
180,20
180,20
180,20
150,17
180,17
180,17
180,17
150,17
180,17
170,17
170,17
150,17
605,9
605,9
200,20
200,20
200,20
200,20
200,20
200,16
200,16
200,16
200,16
140,22
140,22
140,22
140,22
140,22
140,22
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
140,23
420,17
520,14
240,20
440,16
420,17
520,14
300,19
570,14
240,20
520,14
300,18
440,16
570,14
420,17
295,18
275,20
325,20
325,20
340,19
275,20
325,20
340,19
275,20
200,21
200,22
200,21
280,17
200,21
200,22
200,22
200,22
200,22
200,22
200,21
200,22
200,21
200,22
200,22
280,17
200,22
200,22
200,22
200,22
200,22
200,21
200,22
200,21
200,21
200,22
200,22
200,22
200,22
200,22
200,22
200,22
135,17
110,20
140,25
180,20
180,20
140,23
140,23
180,22
180,22
180,21
140,25
140,23
140,25
180,21
140,23
180,21
180,22
140,25
175,18
175,18
175,18
375,15
485,14
375,15
485,14
305,19
375,15
707,13
485,14
375,15
305,19
375,15
485,14
305,19
485,14
375,15
375,15
305,19
707,13
485,14
375,15
375,15
485,14
485,14
375,15
707,13
375,15
305,19
375,15
485,14
305,19
485,14
375,15
375,15
485,15
485,15
707,13
370,16
292,19
370,16
292,18
292,18
292,19
292,19
707,13
292,19
485,15
485,15
370,16
292,19
370,16
292,19
292,19
370,16
485,15
707,13
292,18
292,19
370,16
485,15
292,18
485,15
195,14
195,14
195,14
200,14
200,14
200,14
200,13
200,13
200,13
160,17
120,21
160,18
168,17
168,17
168,16
131,24
131,24
131,24
131,24
131,24
131,24
62,36
108,24
92,27
108,24
92,27
62,36
102,30
125,25
160,23
106,29
160,23
125,26
160,23
106,28
127,26
143,30
143,31
143,30
205,22
110,44
205,22
143,28
205,22
143,30
110,44
205,22
143,30
205,22
110,27
110,44
110,44
143,30
143,29
143,29
143,28
143,28
205,22
110,27
143,29
205,22
143,30
174,31
174,31
174,31
174,31
158,27
158,31
174,31
158,31
158,30
174,31
158,26
158,31
174,31
174,31
158,31
174,31
158,30
174,30
180,30
174,31
174,31
174,31
180,30
174,32
174,31
174,32
174,31
174,32
174,31
158,31
158,28
158,30
174,31
174,32
174,32
158,31
158,31
158,28
158,31
158,30
174,32
174,30
200,14
200,14
200,15
200,14
230,14
200,14
200,15
200,15
230,11
200,15
200,14
200,15
230,14
200,15
230,11
200,14
200,14
200,15
200,15
200,15
200,14
200,15
200,15
200,14
200,14
200,14
200,14
200,15
200,14
230,12
200,14
230,12
200,16
200,14
200,16
230,13
200,16
200,14
200,16
200,16
230,12
200,16
200,14
200,14
230,13
200,14
200,16
200,16
200,16
200,14
200,16
200,14
200,14
200,16
230,13
230,13
230,13
230,13
230,13
230,13
255,12
255,12
255,12
255,12
621,12
510,12
429,15
536,15
621,12
536,15
429,15
510,12
621,12
429,15
510,12
536,15
208,26
208,24
355,23
208,26
375,23
208,24
208,26
208,23
375,23
225,17
225,17
225,17
225,17
260,17
260,17
225,17
225,17
260,17
140,22
140,22
268,17
475,12
268,17
382,15
382,15
268,17
382,15
500,12
382,15
475,12
268,17
268,17
382,15
382,15
268,17
402,17
577,16
329,20
329,20
402,17
329,20
329,19
577,16
402,17
402,17
402,18
402,17
577,16
148,24
148,24
260,22
148,24
173,22
148,24
173,22
155,25
155,25
260,22
155,25
260,22
155,25
155,25
155,25
155,25
260,22
155,25
155,25
155,25
155,25
155,25
300,14
242,17
185,18
185,18
242,16
242,17
242,17
185,18
185,18
185,17
185,18
185,18
185,17
185,18
300,14
242,16
200,19
200,20
305,18
305,18
200,20
200,20
200,19
305,17
305,17
200,19
305,17
305,18
305,17
305,17
200,20
200,19
200,20
305,17
200,19
305,17
305,17
305,17
305,17
200,20
305,17
200,19
200,19
200,19
305,18
305,18
200,20
200,19
200,20
305,17
200,20
200,19
200,20
305,18
92,27
92,25
92,28
113,23
92,28
92,28
113,23
92,28
113,23
92,28
113,21
92,25
92,27
113,21
113,19
92,28
92,28
113,19
113,23
92,28
136,19
113,21
113,21
136,19
136,18
92,28
92,28
113,23
113,23
234,16
200,18
250,16
200,19
234,17
250,17
200,19
234,17
250,17
600,10
600,10
600,10
552,11
552,11
552,11
626,12
600,10
616,13
572,13
500,15
521,15
567,12
626,12
626,12
567,12
521,14
500,14
500,15
567,12
521,15
521,14
500,15
500,14
626,12
582,12
582,12
521,15
626,12
600,10
600,10
567,11
567,11
500,14
500,14
567,12
521,14
621,12
621,12
621,12
621,12
621,12
420,10
400,10
420,10
420,10
420,10
420,10
275,15
275,15
275,15
275,15
275,15
305,17
305,16
305,16
305,17
195,17
200,17
200,18
125,21
125,21
125,21
125,21
125,21
125,21
170,18
125,21
325,10
137,27
137,28
140,30
132,29
140,30
132,29
132,27
132,28
132,28
132,29
132,29
132,29
140,30
132,29
140,30
132,29
132,29
132,28
132,29
132,28
132,29
140,30
132,29
140,30
132,27
132,29
132,29
132,28
140,30
132,28
132,27
140,30
132,28
132,28
132,28
132,28
158,18
178,16
178,16
178,16
120,22
120,21
